Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,24,128,24
100,2,8,402,128,18
100,5,1,636,1024,11
100,4,8,427,128,43
100,6,2,541,512,11
100,7,4,561,256,11
100,8,8,583,128,11
100,9,16,605,64,11
100,10,32,623,32,11
100,11,32,694,32,10
100,12,32,702,32,10
100,13,32,708,32,10
100,14,32,713,32,10
930,1,8,24,128,24
930,2,8,402,128,18
930,5,1,719,1024,94
930,4,8,510,128,126
930,6,2,624,512,94
930,7,4,644,256,94
930,8,8,666,128,94
930,9,16,688,64,94
930,10,32,706,32,94
930,11,32,777,32,93
930,12,32,785,32,93
930,13,32,791,32,93
930,14,32,796,32,93
1820,1,8,24,128,24
1820,2,8,402,128,18
1820,5,1,808,1024,183
1820,4,8,599,128,215
1820,6,2,713,512,183
1820,7,4,733,256,183
1820,8,8,755,128,183
1820,9,16,777,64,183
1820,10,32,795,32,183
1820,11,32,866,32,182
1820,12,32,874,32,182
1820,13,32,880,32,182
1820,14,32,885,32,182
2650,1,8,24,128,24
2650,2,8,402,128,18
2650,5,1,891,1024,266
2650,4,8,682,128,298
2650,6,2,796,512,266
2650,7,4,816,256,266
2650,8,8,838,128,266
2650,9,16,860,64,266
2650,10,32,878,32,266
2650,11,32,949,32,265
2650,12,32,957,32,265
2650,13,32,963,32,265
2650,14,32,968,32,265
3530,1,8,24,128,24
3530,2,8,402,128,18
3530,5,1,979,1024,354
3530,4,8,770,128,386
3530,6,2,884,512,354
3530,7,4,904,256,354
3530,8,8,926,128,354
3530,9,16,948,64,354
3530,10,32,966,32,354
3530,11,32,1037,32,353
3530,12,32,1045,32,353
3530,13,32,1051,32,353
3530,14,32,1056,32,353
4360,1,8,24,128,24
4360,2,8,402,128,18
4360,5,1,1062,1024,437
4360,4,8,853,128,469
4360,6,2,967,512,437
4360,7,4,987,256,437
4360,8,8,1009,128,437
4360,9,16,1031,64,437
4360,10,32,1049,32,437
4360,11,32,1120,32,436
4360,12,32,1128,32,436
4360,13,32,1134,32,436
4360,14,32,1139,32,436
5240,1,8,24,128,24
5240,2,8,402,128,18
5240,5,1,1150,1024,525
5240,4,8,941,128,557
5240,6,2,1055,512,525
5240,7,4,1075,256,525
5240,8,8,1097,128,525
5240,9,16,1119,64,525
5240,10,32,1137,32,525
5240,11,32,1208,32,524
5240,12,32,1216,32,524
5240,13,32,1222,32,524
5240,14,32,1227,32,524
6070,1,8,24,128,24
6070,2,8,402,128,18
6070,5,1,1233,1024,608
6070,4,8,1024,128,640
6070,6,2,1138,512,608
6070,7,4,1158,256,608
6070,8,8,1180,128,608
6070,9,16,1202,64,608
6070,10,32,1220,32,608
6070,11,32,1291,32,607
6070,12,32,1299,32,607
6070,13,32,1305,32,607
6070,14,32,1310,32,607
6950,1,8,24,128,24
6950,2,8,402,128,18
6950,5,1,1321,1024,696
6950,4,8,1112,128,728
6950,6,2,1226,512,696
6950,7,4,1246,256,696
6950,8,8,1268,128,696
6950,9,16,1290,64,696
6950,10,32,1308,32,696
6950,11,32,1379,32,695
6950,12,32,1387,32,695
6950,13,32,1393,32,695
6950,14,32,1398,32,695
7780,1,8,24,128,24
7780,2,8,402,128,18
7780,5,1,1404,1024,779
7780,4,8,1195,128,811
7780,6,2,1309,512,779
7780,7,4,1329,256,779
7780,8,8,1351,128,779
7780,9,16,1373,64,779
7780,10,32,1391,32,779
7780,11,32,1462,32,778
7780,12,32,1470,32,778
7780,13,32,1476,32,778
7780,14,32,1481,32,778
8660,1,8,24,128,24
8660,2,8,402,128,18
8660,5,1,1492,1024,867
8660,4,8,1283,128,899
8660,6,2,1397,512,867
8660,7,4,1417,256,867
8660,8,8,1439,128,867
8660,9,16,1461,64,867
8660,10,32,1479,32,867
8660,11,32,1550,32,866
8660,12,32,1558,32,866
8660,13,32,1564,32,866
8660,14,32,1569,32,866
9540,1,8,24,128,24
9540,2,8,402,128,18
9540,5,1,1580,1024,955
9540,4,8,1371,128,987
9540,6,2,1485,512,955
9540,7,4,1505,256,955
9540,8,8,1527,128,955
9540,9,16,1549,64,955
9540,10,32,1567,32,955
9540,11,32,1638,32,954
9540,12,32,1646,32,954
9540,13,32,1652,32,954
9540,14,32,1657,32,954
10370,1,8,24,128,24
10370,2,8,402,128,18
10370,5,1,1663,1024,1038
10370,4,8,1454,128,1070
10370,6,2,1568,512,1038
10370,7,4,1588,256,1038
10370,8,8,1610,128,1038
10370,9,16,1632,64,1038
10370,10,32,1650,32,1038
10370,11,32,1721,32,1037
10370,12,32,1729,32,1037
10370,13,32,1735,32,1037
10370,14,32,1740,32,1037
11250,1,8,24,128,24
11250,2,8,402,128,18
11250,5,1,1751,1024,1126
11250,4,8,1542,128,1158
11250,6,2,1656,512,1126
11250,7,4,1676,256,1126
11250,8,8,1698,128,1126
11250,9,16,1720,64,1126
11250,10,32,1738,32,1126
11250,11,32,1809,32,1125
11250,12,32,1817,32,1125
11250,13,32,1823,32,1125
11250,14,32,1828,32,1125
12080,1,8,24,128,24
12080,2,8,402,128,18
12080,5,1,1834,1024,1209
12080,4,8,1625,128,1241
12080,6,2,1739,512,1209
12080,7,4,1759,256,1209
12080,8,8,1781,128,1209
12080,9,16,1803,64,1209
12080,10,32,1821,32,1209
12080,11,32,1892,32,1208
12080,12,32,1900,32,1208
12080,13,32,1906,32,1208
12080,14,32,1911,32,1208
12960,1,8,24,128,24
12960,2,8,402,128,18
12960,5,1,1922,1024,1297
12960,4,8,1713,128,1329
12960,6,2,1827,512,1297
12960,7,4,1847,256,1297
12960,8,8,1869,128,1297
12960,9,16,1891,64,1297
12960,10,32,1909,32,1297
12960,11,32,1980,32,1296
12960,12,32,1988,32,1296
12960,13,32,1994,32,1296
12960,14,32,1999,32,1296
13840,1,8,24,128,24
13840,2,8,402,128,18
13840,5,1,2010,1024,1385
13840,4,8,1801,128,1417
13840,6,2,1915,512,1385
13840,7,4,1935,256,1385
13840,8,8,1957,128,1385
13840,9,16,1979,64,1385
13840,10,32,1997,32,1385
13840,11,32,2068,32,1384
13840,12,32,2076,32,1384
13840,13,32,2082,32,1384
13840,14,32,2087,32,1384
14670,1,8,24,128,24
14670,2,8,402,128,18
14670,5,1,2093,1024,1468
14670,4,8,1884,128,1500
14670,6,2,1998,512,1468
14670,7,4,2018,256,1468
14670,8,8,2040,128,1468
14670,9,16,2062,64,1468
14670,10,32,2080,32,1468
14670,11,32,2151,32,1467
14670,12,32,2159,32,1467
14670,13,32,2165,32,1467
14670,14,32,2170,32,1467
15530,1,8,24,128,24
15530,2,8,402,128,18
15530,5,1,2179,1024,1554
15530,4,8,1970,128,1586
15530,6,2,2084,512,1554
15530,7,4,2104,256,1554
15530,8,8,2126,128,1554
15530,9,16,2148,64,1554
15530,10,32,2166,32,1554
15530,11,32,2237,32,1553
15530,12,32,2245,32,1553
15530,13,32,2251,32,1553
15530,14,32,2256,32,1553
16360,1,8,24,128,24
16360,2,8,402,128,18
16360,5,1,2262,1024,1637
16360,4,8,2053,128,1669
16360,6,2,2167,512,1637
16360,7,4,2187,256,1637
16360,8,8,2209,128,1637
16360,9,16,2231,64,1637
16360,10,32,2249,32,1637
16360,11,32,2320,32,1636
16360,12,32,2328,32,1636
16360,13,32,2334,32,1636
16360,14,32,2339,32,1636
17240,1,8,24,128,24
17240,2,8,402,128,18
17240,5,1,2350,1024,1725
17240,4,8,2141,128,1757
17240,6,2,2255,512,1725
17240,7,4,2275,256,1725
17240,8,8,2297,128,1725
17240,9,16,2319,64,1725
17240,10,32,2337,32,1725
17240,11,32,2408,32,1724
17240,12,32,2416,32,1724
17240,13,32,2422,32,1724
17240,14,32,2427,32,1724
17240,15,8,86863,128,0
17240,16,8,86863,128,0
17240,17,8,86863,128,0
17240,18,8,86863,128,0
17240,19,8,86863,128,0
17240,20,8,86863,128,0
19289,1,8,24,128,24
19289,2,8,402,128,18
19289,5,1,2478,1024,1853
19289,4,8,2269,128,1885
19289,6,2,2383,512,1853
19289,7,4,2403,256,1853
19289,8,8,2425,128,1853
19289,9,16,2447,64,1853
19289,10,32,2465,32,1853
19289,11,32,2536,32,1852
19289,12,32,2544,32,1852
19289,13,32,2550,32,1852
19289,14,32,2555,32,1852
19289,15,32,87031,32,128
19289,16,32,87034,32,128
19289,17,8,87037,128,128
19289,18,2,87040,512,128
19289,19,8,87043,128,128
19289,20,8,87046,128,128
21289,1,8,24,128,24
21289,2,8,402,128,18
21289,5,1,2603,1024,1978
21289,4,8,2394,128,2010
21289,6,2,2508,512,1978
21289,7,4,2528,256,1978
21289,8,8,2550,128,1978
21289,9,16,2572,64,1978
21289,10,32,2590,32,1978
21289,11,32,2661,32,1977
21289,12,32,2669,32,1977
21289,13,32,2675,32,1977
21289,14,32,2680,32,1977
21289,15,32,87156,32,253
21289,16,32,87159,32,253
21289,17,8,87162,128,253
21289,18,2,87165,512,253
21289,19,8,87168,128,253
21289,20,8,87171,128,253
23289,1,8,24,128,24
23289,2,8,402,128,18
23289,5,1,2728,1024,2103
23289,4,8,2519,128,2135
23289,6,2,2633,512,2103
23289,7,4,2653,256,2103
23289,8,8,2675,128,2103
23289,9,16,2697,64,2103
23289,10,32,2715,32,2103
23289,11,32,2786,32,2102
23289,12,32,2794,32,2102
23289,13,32,2800,32,2102
23289,14,32,2805,32,2102
23289,15,32,87281,32,378
23289,16,32,87284,32,378
23289,17,8,87287,128,378
23289,18,2,87290,512,378
23289,19,8,87293,128,378
23289,20,8,87296,128,378
25289,1,8,24,128,24
25289,2,8,402,128,18
25289,5,1,2853,1024,2228
25289,4,8,2644,128,2260
25289,6,2,2758,512,2228
25289,7,4,2778,256,2228
25289,8,8,2800,128,2228
25289,9,16,2822,64,2228
25289,10,32,2840,32,2228
25289,11,32,2911,32,2227
25289,12,32,2919,32,2227
25289,13,32,2925,32,2227
25289,14,32,2930,32,2227
25289,15,32,87406,32,503
25289,16,32,87409,32,503
25289,17,8,87412,128,503
25289,18,2,87415,512,503
25289,19,8,87418,128,503
25289,20,8,87421,128,503
27177,1,8,24,128,24
27177,2,8,402,128,18
27177,5,1,2971,1024,2346
27177,4,8,2762,128,2378
27177,6,2,2876,512,2346
27177,7,4,2896,256,2346
27177,8,8,2918,128,2346
27177,9,16,2940,64,2346
27177,10,32,2958,32,2346
27177,11,32,3029,32,2345
27177,12,32,3037,32,2345
27177,13,32,3043,32,2345
27177,14,32,3048,32,2345
27177,15,32,87524,32,621
27177,16,32,87527,32,621
27177,17,8,87530,128,621
27177,18,2,87533,512,621
27177,19,8,87536,128,621
27177,20,8,87539,128,621
29177,1,8,24,128,24
29177,2,8,402,128,18
29177,5,1,3096,1024,2471
29177,4,8,2887,128,2503
29177,6,2,3001,512,2471
29177,7,4,3021,256,2471
29177,8,8,3043,128,2471
29177,9,16,3065,64,2471
29177,10,32,3083,32,2471
29177,11,32,3154,32,2470
29177,12,32,3162,32,2470
29177,13,32,3168,32,2470
29177,14,32,3173,32,2470
29177,15,32,87649,32,746
29177,16,32,87652,32,746
29177,17,8,87655,128,746
29177,18,2,87658,512,746
29177,19,8,87661,128,746
29177,20,8,87664,128,746
31177,1,8,24,128,24
31177,2,8,402,128,18
31177,5,1,3221,1024,2596
31177,4,8,3012,128,2628
31177,6,2,3126,512,2596
31177,7,4,3146,256,2596
31177,8,8,3168,128,2596
31177,9,16,3190,64,2596
31177,10,32,3208,32,2596
31177,11,32,3279,32,2595
31177,12,32,3287,32,2595
31177,13,32,3293,32,2595
31177,14,32,3298,32,2595
31177,15,32,87774,32,871
31177,16,32,87777,32,871
31177,17,8,87780,128,871
31177,18,2,87783,512,871
31177,19,8,87786,128,871
31177,20,8,87789,128,871
33177,1,8,24,128,24
33177,2,8,402,128,18
33177,5,1,3346,1024,2721
33177,4,8,3137,128,2753
33177,6,2,3251,512,2721
33177,7,4,3271,256,2721
33177,8,8,3293,128,2721
33177,9,16,3315,64,2721
33177,10,32,3333,32,2721
33177,11,32,3404,32,2720
33177,12,32,3412,32,2720
33177,13,32,3418,32,2720
33177,14,32,3423,32,2720
33177,15,32,87899,32,996
33177,16,32,87902,32,996
33177,17,8,87905,128,996
33177,18,2,87908,512,996
33177,19,8,87911,128,996
33177,20,8,87914,128,996
35177,1,8,24,128,24
35177,2,8,402,128,18
35177,5,1,3471,1024,2846
35177,4,8,3262,128,2878
35177,6,2,3376,512,2846
35177,7,4,3396,256,2846
35177,8,8,3418,128,2846
35177,9,16,3440,64,2846
35177,10,32,3458,32,2846
35177,11,32,3529,32,2845
35177,12,32,3537,32,2845
35177,13,32,3543,32,2845
35177,14,32,3548,32,2845
35177,15,32,88024,32,1121
35177,16,32,88027,32,1121
35177,17,8,88030,128,1121
35177,18,2,88033,512,1121
35177,19,8,88036,128,1121
35177,20,8,88039,128,1121
37145,1,8,24,128,24
37145,2,8,402,128,18
37145,5,1,3594,1024,2969
37145,4,8,3385,128,3001
37145,6,2,3499,512,2969
37145,7,4,3519,256,2969
37145,8,8,3541,128,2969
37145,9,16,3563,64,2969
37145,10,32,3581,32,2969
37145,11,32,3652,32,2968
37145,12,32,3660,32,2968
37145,13,32,3666,32,2968
37145,14,32,3671,32,2968
37145,15,32,88147,32,1244
37145,16,32,88150,32,1244
37145,17,8,88153,128,1244
37145,18,2,88156,512,1244
37145,19,8,88159,128,1244
37145,20,8,88162,128,1244
39145,1,8,24,128,24
39145,2,8,402,128,18
39145,5,1,3719,1024,3094
39145,4,8,3510,128,3126
39145,6,2,3624,512,3094
39145,7,4,3644,256,3094
39145,8,8,3666,128,3094
39145,9,16,3688,64,3094
39145,10,32,3706,32,3094
39145,11,32,3777,32,3093
39145,12,32,3785,32,3093
39145,13,32,3791,32,3093
39145,14,32,3796,32,3093
39145,15,32,88272,32,1369
39145,16,32,88275,32,1369
39145,17,8,88278,128,1369
39145,18,2,88281,512,1369
39145,19,8,88284,128,1369
39145,20,8,88287,128,1369
41145,1,8,24,128,24
41145,2,8,402,128,18
41145,5,1,3844,1024,3219
41145,4,8,3635,128,3251
41145,6,2,3749,512,3219
41145,7,4,3769,256,3219
41145,8,8,3791,128,3219
41145,9,16,3813,64,3219
41145,10,32,3831,32,3219
41145,11,32,3902,32,3218
41145,12,32,3910,32,3218
41145,13,32,3916,32,3218
41145,14,32,3921,32,3218
41145,15,32,88397,32,1494
41145,16,32,88400,32,1494
41145,17,8,88403,128,1494
41145,18,2,88406,512,1494
41145,19,8,88409,128,1494
41145,20,8,88412,128,1494
43145,1,8,24,128,24
43145,2,8,402,128,18
43145,5,1,3969,1024,3344
43145,4,8,3760,128,3376
43145,6,2,3874,512,3344
43145,7,4,3894,256,3344
43145,8,8,3916,128,3344
43145,9,16,3938,64,3344
43145,10,32,3956,32,3344
43145,11,32,4027,32,3343
43145,12,32,4035,32,3343
43145,13,32,4041,32,3343
43145,14,32,4046,32,3343
43145,15,32,88522,32,1619
43145,16,32,88525,32,1619
43145,17,8,88528,128,1619
43145,18,2,88531,512,1619
43145,19,8,88534,128,1619
43145,20,8,88537,128,1619
45145,1,8,24,128,24
45145,2,8,402,128,18
45145,5,1,4094,1024,3469
45145,4,8,3885,128,3501
45145,6,2,3999,512,3469
45145,7,4,4019,256,3469
45145,8,8,4041,128,3469
45145,9,16,4063,64,3469
45145,10,32,4081,32,3469
45145,11,32,4152,32,3468
45145,12,32,4160,32,3468
45145,13,32,4166,32,3468
45145,14,32,4171,32,3468
45145,15,32,88647,32,1744
45145,16,32,88650,32,1744
45145,17,8,88653,128,1744
45145,18,2,88656,512,1744
45145,19,8,88659,128,1744
45145,20,8,88662,128,1744
47145,1,8,24,128,24
47145,2,8,402,128,18
47145,5,1,4219,1024,3594
47145,4,8,4010,128,3626
47145,6,2,4124,512,3594
47145,7,4,4144,256,3594
47145,8,8,4166,128,3594
47145,9,16,4188,64,3594
47145,10,32,4206,32,3594
47145,11,32,4277,32,3593
47145,12,32,4285,32,3593
47145,13,32,4291,32,3593
47145,14,32,4296,32,3593
47145,15,32,88772,32,1869
47145,16,32,88775,32,1869
47145,17,8,88778,128,1869
47145,18,2,88781,512,1869
47145,19,8,88784,128,1869
47145,20,8,88787,128,1869
49033,1,8,24,128,24
49033,2,8,402,128,18
49033,5,1,4337,1024,3712
49033,4,8,4128,128,3744
49033,6,2,4242,512,3712
49033,7,4,4262,256,3712
49033,8,8,4284,128,3712
49033,9,16,4306,64,3712
49033,10,32,4324,32,3712
49033,11,32,4395,32,3711
49033,12,32,4403,32,3711
49033,13,32,4409,32,3711
49033,14,32,4414,32,3711
49033,15,32,88890,32,1987
49033,16,32,88893,32,1987
49033,17,8,88896,128,1987
49033,18,2,88899,512,1987
49033,19,8,88902,128,1987
49033,20,8,88905,128,1987
51033,1,8,24,128,24
51033,2,8,402,128,18
51033,5,1,4462,1024,3837
51033,4,8,4253,128,3869
51033,6,2,4367,512,3837
51033,7,4,4387,256,3837
51033,8,8,4409,128,3837
51033,9,16,4431,64,3837
51033,10,32,4449,32,3837
51033,11,32,4520,32,3836
51033,12,32,4528,32,3836
51033,13,32,4534,32,3836
51033,14,32,4539,32,3836
51033,15,32,89015,32,2112
51033,16,32,89018,32,2112
51033,17,8,89021,128,2112
51033,18,2,89024,512,2112
51033,19,8,89027,128,2112
51033,20,8,89030,128,2112
53033,1,8,24,128,24
53033,2,8,402,128,18
53033,5,1,4587,1024,3962
53033,4,8,4378,128,3994
53033,6,2,4492,512,3962
53033,7,4,4512,256,3962
53033,8,8,4534,128,3962
53033,9,16,4556,64,3962
53033,10,32,4574,32,3962
53033,11,32,4645,32,3961
53033,12,32,4653,32,3961
53033,13,32,4659,32,3961
53033,14,32,4664,32,3961
53033,15,32,89140,32,2237
53033,16,32,89143,32,2237
53033,17,8,89146,128,2237
53033,18,2,89149,512,2237
53033,19,8,89152,128,2237
53033,20,8,89155,128,2237
55033,1,8,24,128,24
55033,2,8,402,128,18
55033,5,1,4712,1024,4087
55033,4,8,4503,128,4119
55033,6,2,4617,512,4087
55033,7,4,4637,256,4087
55033,8,8,4659,128,4087
55033,9,16,4681,64,4087
55033,10,32,4699,32,4087
55033,11,32,4770,32,4086
55033,12,32,4778,32,4086
55033,13,32,4784,32,4086
55033,14,32,4789,32,4086
55033,15,32,89265,32,2362
55033,16,32,89268,32,2362
55033,17,8,89271,128,2362
55033,18,2,89274,512,2362
55033,19,8,89277,128,2362
55033,20,8,89280,128,2362
