Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,384,128,2
100,2,8,384,128,0
100,5,1,1514,1024,1
100,4,8,1173,128,2
100,6,2,1574,512,2
100,7,4,1411,256,3
100,8,8,1297,128,5
100,9,16,1247,64,9
100,10,32,1227,32,17
100,11,32,1236,32,17
100,12,32,1212,32,16
100,13,32,1218,32,16
100,14,32,1223,32,16
228,1,8,384,128,2
228,2,8,384,128,0
228,5,1,2538,1024,2
228,4,8,1813,128,2
228,6,2,2086,512,3
228,7,4,1923,256,5
228,8,8,1937,128,10
228,9,16,1951,64,20
228,10,32,1899,32,38
228,11,32,1908,32,38
228,12,32,1916,32,38
228,13,32,1922,32,38
228,14,32,1927,32,38
362,1,8,384,128,2
362,2,8,384,128,0
362,5,1,3562,1024,3
362,4,8,2483,128,2
362,6,2,3110,512,5
362,7,4,2691,256,8
362,8,8,2705,128,16
362,9,16,2655,64,31
362,10,32,2635,32,61
362,11,32,2612,32,60
362,12,32,2620,32,60
362,13,32,2626,32,60
362,14,32,2631,32,60
490,1,8,384,128,2
490,2,8,384,128,0
490,5,1,3562,1024,3
490,4,8,3123,128,2
490,6,2,3622,512,6
490,7,4,3459,256,11
490,8,8,3345,128,21
490,9,16,3359,64,42
490,10,32,3307,32,82
490,11,32,3316,32,82
490,12,32,3324,32,82
490,13,32,3330,32,82
490,14,32,3303,32,81
623,1,8,384,128,2
623,2,8,384,128,0
623,5,1,4586,1024,4
623,4,8,3788,128,2
623,6,2,4134,512,7
623,7,4,4227,256,14
623,8,8,4113,128,27
623,9,16,4063,64,53
623,10,32,4011,32,104
623,11,32,4020,32,104
623,12,32,4028,32,104
623,13,32,4034,32,104
623,14,32,4039,32,104
751,1,8,384,128,2
751,2,8,384,128,0
751,5,1,5610,1024,5
751,4,8,4428,128,2
751,6,2,5158,512,9
751,7,4,4739,256,16
751,8,8,4753,128,32
751,9,16,4703,64,63
751,10,32,4715,32,126
751,11,32,4724,32,126
751,12,32,4732,32,126
751,13,32,4706,32,125
751,14,32,4711,32,125
884,1,8,384,128,2
884,2,8,384,128,0
884,5,1,5610,1024,5
884,4,8,5093,128,2
884,6,2,5670,512,10
884,7,4,5507,256,19
884,8,8,5521,128,38
884,9,16,5471,64,75
884,10,32,5419,32,148
884,11,32,5428,32,148
884,12,32,5436,32,148
884,13,32,5442,32,148
884,14,32,5415,32,147
1012,1,8,384,128,2
1012,2,8,384,128,0
1012,5,1,6634,1024,6
1012,4,8,5733,128,2
1012,6,2,6182,512,11
1012,7,4,6275,256,22
1012,8,8,6161,128,43
1012,9,16,6111,64,85
1012,10,32,6123,32,170
1012,11,32,6132,32,170
1012,12,32,6108,32,169
1012,13,32,6114,32,169
1012,14,32,6119,32,169
1145,1,8,384,128,2
1145,2,8,384,128,0
1145,5,1,7658,1024,7
1145,4,8,6398,128,2
1145,6,2,7206,512,13
1145,7,4,7043,256,25
1145,8,8,6929,128,49
1145,9,16,6815,64,96
1145,10,32,6827,32,192
1145,11,32,6836,32,192
1145,12,32,6812,32,191
1145,13,32,6818,32,191
1145,14,32,6823,32,191
1273,1,8,384,128,2
1273,2,8,384,128,0
1273,5,1,7658,1024,7
1273,4,8,7038,128,2
1273,6,2,7718,512,14
1273,7,4,7555,256,27
1273,8,8,7569,128,54
1273,9,16,7519,64,107
1273,10,32,7531,32,214
1273,11,32,7508,32,213
1273,12,32,7516,32,213
1273,13,32,7522,32,213
1273,14,32,7527,32,213
1406,1,8,384,128,2
1406,2,8,384,128,0
1406,5,1,8682,1024,8
1406,4,8,7703,128,2
1406,6,2,8230,512,15
1406,7,4,8323,256,30
1406,8,8,8337,128,60
1406,9,16,8223,64,118
1406,10,32,8235,32,236
1406,11,32,8244,32,236
1406,12,32,8220,32,235
1406,13,32,8226,32,235
1406,14,32,8231,32,235
1534,1,8,384,128,2
1534,2,8,384,128,0
1534,5,1,9706,1024,9
1534,4,8,8343,128,2
1534,6,2,9254,512,17
1534,7,4,9091,256,33
1534,8,8,8977,128,65
1534,9,16,8927,64,129
1534,10,32,8907,32,257
1534,11,32,8916,32,257
1534,12,32,8924,32,257
1534,13,32,8898,32,256
1534,14,32,8903,32,256
1667,1,8,384,128,2
1667,2,8,384,128,0
1667,5,1,9706,1024,9
1667,4,8,9008,128,2
1667,6,2,9766,512,18
1667,7,4,9859,256,36
1667,8,8,9617,128,70
1667,9,16,9631,64,140
1667,10,32,9643,32,280
1667,11,32,9620,32,279
1667,12,32,9628,32,279
1667,13,32,9634,32,279
1667,14,32,9639,32,279
1795,1,8,384,128,2
1795,2,8,384,128,0
1795,5,1,10730,1024,10
1795,4,8,9648,128,2
1795,6,2,10790,512,20
1795,7,4,10371,256,38
1795,8,8,10385,128,76
1795,9,16,10335,64,151
1795,10,32,10315,32,301
1795,11,32,10324,32,301
1795,12,32,10300,32,300
1795,13,32,10306,32,300
1795,14,32,10311,32,300
1928,1,8,384,128,2
1928,2,8,384,128,0
1928,5,1,11754,1024,11
1928,4,8,10313,128,2
1928,6,2,11302,512,21
1928,7,4,11139,256,41
1928,8,8,11025,128,81
1928,9,16,11039,64,162
1928,10,32,11019,32,323
1928,11,32,11028,32,323
1928,12,32,11036,32,323
1928,13,32,11042,32,323
1928,14,32,11015,32,322
2061,1,8,384,128,2
2061,2,8,384,128,0
2061,5,1,11754,1024,11
2061,4,8,10978,128,2
2061,6,2,11814,512,22
2061,7,4,11907,256,44
2061,8,8,11793,128,87
2061,9,16,11743,64,173
2061,10,32,11755,32,346
2061,11,32,11732,32,345
2061,12,32,11740,32,345
2061,13,32,11746,32,345
2061,14,32,11751,32,345
2189,1,8,384,128,2
2189,2,8,384,128,0
2189,5,1,12778,1024,12
2189,4,8,11618,128,2
2189,6,2,12838,512,24
2189,7,4,12419,256,46
2189,8,8,12433,128,92
2189,9,16,12447,64,184
2189,10,32,12427,32,367
2189,11,32,12436,32,367
2189,12,32,12444,32,367
2189,13,32,12418,32,366
2189,14,32,12423,32,366
2322,1,8,384,128,2
2322,2,8,384,128,0
2322,5,1,13802,1024,13
2322,4,8,12283,128,2
2322,6,2,13350,512,25
2322,7,4,13187,256,49
2322,8,8,13201,128,98
2322,9,16,13151,64,195
2322,10,32,13131,32,389
2322,11,32,13140,32,389
2322,12,32,13148,32,389
2322,13,32,13154,32,389
2322,14,32,13127,32,388
2450,1,8,384,128,2
2450,2,8,384,128,0
2450,5,1,14826,1024,14
2450,4,8,12923,128,2
2450,6,2,13862,512,26
2450,7,4,13955,256,52
2450,8,8,13841,128,103
2450,9,16,13855,64,206
2450,10,32,13835,32,411
2450,11,32,13812,32,410
2450,12,32,13820,32,410
2450,13,32,13826,32,410
2450,14,32,13831,32,410
2583,1,8,384,128,2
2583,2,8,384,128,0
2583,5,1,14826,1024,14
2583,4,8,13588,128,2
2583,6,2,14886,512,28
2583,7,4,14723,256,55
2583,8,8,14609,128,109
2583,9,16,14559,64,217
2583,10,32,14539,32,433
2583,11,32,14548,32,433
2583,12,32,14524,32,432
2583,13,32,14530,32,432
2583,14,32,14535,32,432
2711,1,8,384,128,2
2711,2,8,384,128,0
2711,5,1,15850,1024,15
2711,4,8,14228,128,2
2711,6,2,15398,512,29
2711,7,4,15235,256,57
2711,8,8,15249,128,114
2711,9,16,15263,64,228
2711,10,32,15211,32,454
2711,11,32,15220,32,454
2711,12,32,15228,32,454
2711,13,32,15234,32,454
2711,14,32,15239,32,454
2711,15,8,14231,128,0
2711,16,8,14231,128,0
2711,17,8,14231,128,0
2711,18,8,14231,128,0
2711,19,8,14231,128,0
2711,20,8,14231,128,0
2891,1,8,384,128,2
2891,2,8,384,128,0
2891,5,1,15850,1024,15
2891,4,8,14857,128,3
2891,6,2,15910,512,30
2891,7,4,15747,256,59
2891,8,8,15633,128,117
2891,9,16,15583,64,233
2891,10,32,15531,32,464
2891,11,32,15540,32,464
2891,12,32,15548,32,464
2891,13,32,15554,32,464
2891,14,32,15559,32,464
2891,15,32,15547,32,41
2891,16,32,15550,32,41
2891,17,8,15649,128,11
2891,18,2,15780,512,3
2891,19,8,15655,128,11
2891,20,8,15658,128,11
3061,1,8,384,128,2
3061,2,8,384,128,0
3061,5,1,16874,1024,16
3061,4,8,15367,128,3
3061,6,2,16422,512,31
3061,7,4,16259,256,61
3061,8,8,16273,128,122
3061,9,16,16223,64,243
3061,10,32,16171,32,484
3061,11,32,16180,32,484
3061,12,32,16188,32,484
3061,13,32,16162,32,483
3061,14,32,16167,32,483
3061,15,32,16187,32,61
3061,16,32,16190,32,61
3061,17,8,16161,128,15
3061,18,2,16292,512,4
3061,19,8,16167,128,15
3061,20,8,16170,128,15
3232,1,8,384,128,2
3232,2,8,384,128,0
3232,5,1,16874,1024,16
3232,4,8,15880,128,3
3232,6,2,16934,512,32
3232,7,4,17027,256,64
3232,8,8,16913,128,127
3232,9,16,16799,64,252
3232,10,32,16811,32,504
3232,11,32,16820,32,504
3232,12,32,16796,32,503
3232,13,32,16802,32,503
3232,14,32,16807,32,503
3232,15,32,16795,32,80
3232,16,32,16798,32,80
3232,17,8,16801,128,20
3232,18,2,16804,512,5
3232,19,8,16807,128,20
3232,20,8,16810,128,20
3392,1,8,384,128,2
3392,2,8,384,128,0
3392,5,1,17898,1024,17
3392,4,8,16360,128,3
3392,6,2,17446,512,33
3392,7,4,17539,256,66
3392,8,8,17425,128,131
3392,9,16,17375,64,261
3392,10,32,17387,32,522
3392,11,32,17396,32,522
3392,12,32,17372,32,521
3392,13,32,17378,32,521
3392,14,32,17383,32,521
3392,15,32,17371,32,98
3392,16,32,17374,32,98
3392,17,8,17441,128,25
3392,18,2,17828,512,7
3392,19,8,17447,128,25
3392,20,8,17450,128,25
3563,1,8,384,128,2
3563,2,8,384,128,0
3563,5,1,18922,1024,18
3563,4,8,16873,128,3
3563,6,2,18470,512,35
3563,7,4,18051,256,68
3563,8,8,18065,128,136
3563,9,16,18015,64,271
3563,10,32,17995,32,541
